3373.2,3520.7,2957.4,3079.6,3079.6,2534.4
3520.7,2957.4,3079.6,3079.6,2534.4,3347.9
2957.4,3079.6,3079.6,2534.4,3347.9,3576.4
3079.6,3079.6,2534.4,3347.9,3576.4,2899.4
3079.6,2534.4,3347.9,3576.4,2899.4,2687.2
2534.4,3347.9,3576.4,2899.4,2687.2,2960.5
3347.9,3576.4,2899.4,2687.2,2960.5,2365.8
3576.4,2899.4,2687.2,2960.5,2365.8,2957.8
2899.4,2687.2,2960.5,2365.8,2957.8,2741.3
2687.2,2960.5,2365.8,2957.8,2741.3,2937.5
2960.5,2365.8,2957.8,2741.3,2937.5,2612.4
2365.8,2957.8,2741.3,2937.5,2612.4,3275
2957.8,2741.3,2937.5,2612.4,3275,2352.1
2741.3,2937.5,2612.4,3275,2352.1,2943.2
2937.5,2612.4,3275,2352.1,2943.2,2606.4
2612.4,3275,2352.1,2943.2,2606.4,3554.2
3275,2352.1,2943.2,2606.4,3554.2,2927.439
2352.1,2943.2,2606.4,3554.2,2927.439,2927.439
2943.2,2606.4,3554.2,2927.439,2927.439,2480.5
2606.4,3554.2,2927.439,2927.439,2480.5,3282.2
